,place,name,year,month,visitors
0,1 ,'57 Chevy,2001,total,1512
1,2 ,Caipirinha,2001,total,1301
2,3 ,Long Island Icetea,2001,total,903
3,4 ,Pina Colada,2001,total,601
4,5 ,Tall Blonde,2001,total,573
5,6 ,Wiki Waki Woo,2001,total,517
6,7 ,Ghostbuster,2001,total,444
7,8 ,May Tai,2001,total,414
8,9 ,77 Sunset Strip,2001,total,402
9,10 ,Zombie,2001,total,301
0,1 ,Tall Blonde,2001,October,3
1,2 ,Bleeding Heart,2001,October,2
2,3 ,Pina Colada,2001,October,2
3,4 ,Time Bomb,2001,October,2
4,5 ,Sunny,2001,October,2
5,6 ,Daiquiri Slush,2001,October,2
6,7 ,Ghostbuster,2001,October,2
7,8 ,Cuba Libre,2001,October,1
8,9 ,Union Jack,2001,October,1
9,10 ,Lemon Drop,2001,October,1
0,1 ,'57 Chevy,2001,November,1051
1,2 ,Caipirinha,2001,November,885
2,3 ,Tall Blonde,2001,November,570
3,4 ,Long Island Icetea,2001,November,535
4,5 ,May Tai,2001,November,414
5,6 ,Pina Colada,2001,November,393
6,7 ,Wiki Waki Woo,2001,November,331
7,8 ,Ghostbuster,2001,November,290
8,9 ,77 Sunset Strip,2001,November,258
9,10 ,American Beauty (Aperitif),2001,November,168
0,1 ,'57 Chevy,2001,December,460
1,2 ,Caipirinha,2001,December,416
2,3 ,Long Island Icetea,2001,December,368
3,4 ,Pina Colada,2001,December,206
4,5 ,Wiki Waki Woo,2001,December,185
5,6 ,Daiquiri Slush,2001,December,158
6,7 ,Zombie,2001,December,152
7,8 ,Ghostbuster,2001,December,152
8,9 ,77 Sunset Strip,2001,December,143
9,10 ,Sex On The Beach,2001,December,75
0,1 ,'57 Chevy,2002,total,4336
1,2 ,Caipirinha,2002,total,3268
2,3 ,Long Island Icetea,2002,total,2768
3,4 ,Sex On The Beach,2002,total,1835
4,5 ,May Tai,2002,total,1723
5,6 ,Wiki Waki Woo,2002,total,1596
6,7 ,Pina Colada,2002,total,1367
7,8 ,Baby Aspirin,2002,total,1337
8,9 ,77 Sunset Strip,2002,total,1218
9,10 ,Tall Blonde,2002,total,1107
0,1 ,'57 Chevy,2002,January,934
1,2 ,Caipirinha,2002,January,778
2,3 ,Long Island Icetea,2002,January,555
3,4 ,May Tai,2002,January,481
4,5 ,Pina Colada,2002,January,388
5,6 ,Wiki Waki Woo,2002,January,368
6,7 ,Tall Blonde,2002,January,356
7,8 ,Sex On The Beach,2002,January,340
8,9 ,Baby Aspirin,2002,January,291
9,10 ,77 Sunset Strip,2002,January,273
0,1 ,'57 Chevy,2002,February,652
1,2 ,Caipirinha,2002,February,495
2,3 ,Long Island Icetea,2002,February,455
3,4 ,Sex On The Beach,2002,February,339
4,5 ,May Tai,2002,February,302
5,6 ,Wiki Waki Woo,2002,February,265
6,7 ,Pina Colada,2002,February,258
7,8 ,Baby Aspirin,2002,February,252
8,9 ,Tall Blonde,2002,February,206
9,10 ,77 Sunset Strip,2002,February,199
0,1 ,'57 Chevy,2002,March,718
1,2 ,Caipirinha,2002,March,510
2,3 ,Sex On The Beach,2002,March,451
3,4 ,Long Island Icetea,2002,March,431
4,5 ,Baby Aspirin,2002,March,262
5,6 ,Pina Colada,2002,March,259
6,7 ,Wiki Waki Woo,2002,March,246
7,8 ,77 Sunset Strip,2002,March,200
8,9 ,Ghostbuster,2002,March,107
9,10 ,Boston Tea Party,2002,March,96
0,1 ,'57 Chevy,2002,April,872
1,2 ,Caipirinha,2002,April,593
2,3 ,Long Island Icetea,2002,April,553
3,4 ,May Tai,2002,April,405
4,5 ,Wiki Waki Woo,2002,April,302
5,6 ,Tall Blonde,2002,April,234
6,7 ,77 Sunset Strip,2002,April,230
7,8 ,Zombie,2002,April,106
8,9 ,American Beauty (Aperitif),2002,April,102
9,10 ,Mojito,2002,April,101
0,1 ,'57 Chevy,2002,May,803
1,2 ,Caipirinha,2002,May,621
2,3 ,Long Island Icetea,2002,May,526
3,4 ,Sex On The Beach,2002,May,494
4,5 ,May Tai,2002,May,375
5,6 ,Baby Aspirin,2002,May,369
6,7 ,Pina Colada,2002,May,336
7,8 ,Wiki Waki Woo,2002,May,279
8,9 ,Tall Blonde,2002,May,224
9,10 ,77 Sunset Strip,2002,May,221
0,1 ,'57 Chevy,2002,June,357
1,2 ,Caipirinha,2002,June,271
2,3 ,Long Island Icetea,2002,June,248
3,4 ,Sex On The Beach,2002,June,211
4,5 ,Baby Aspirin,2002,June,163
5,6 ,May Tai,2002,June,160
6,7 ,Wiki Waki Woo,2002,June,136
7,8 ,Pina Colada,2002,June,126
8,9 ,77 Sunset Strip,2002,June,95
9,10 ,Tall Blonde,2002,June,87
0,1 ,Caipirinha,2003,total,11945
1,2 ,Sex On The Beach,2003,total,11735
2,3 ,Mojito original,2003,total,8032
3,4 ,Long Island Icetea,2003,total,7836
4,5 ,May Tai,2003,total,6356
5,6 ,'57 Chevy,2003,total,6306
6,7 ,Highfly,2003,total,6113
7,8 ,Baby Aspirin,2003,total,5585
8,9 ,Zombie,2003,total,4640
9,10 ,Pina Colada,2003,total,4396
0,1 ,Caipirinha,2003,January,741
1,2 ,Sex On The Beach,2003,January,695
2,3 ,'57 Chevy,2003,January,640
3,4 ,Long Island Icetea,2003,January,551
4,5 ,May Tai,2003,January,521
5,6 ,Veronika's Birthday,2003,January,516
6,7 ,Baby Aspirin,2003,January,421
7,8 ,Wiki Waki Woo,2003,January,373
8,9 ,Pina Colada,2003,January,355
9,10 ,Zombie,2003,January,327
0,1 ,Caipirinha,2003,February,777
1,2 ,Sex On The Beach,2003,February,721
2,3 ,'57 Chevy,2003,February,587
3,4 ,Long Island Icetea,2003,February,566
4,5 ,May Tai,2003,February,492
5,6 ,Baby Aspirin,2003,February,457
6,7 ,Wiki Waki Woo,2003,February,368
7,8 ,Veronika's Birthday,2003,February,368
8,9 ,Pina Colada,2003,February,343
9,10 ,Zombie,2003,February,339
0,1 ,Sex On The Beach,2003,March,881
1,2 ,Caipirinha,2003,March,835
2,3 ,Long Island Icetea,2003,March,662
3,4 ,'57 Chevy,2003,March,564
4,5 ,May Tai,2003,March,505
5,6 ,Baby Aspirin,2003,March,498
6,7 ,Wiki Waki Woo,2003,March,416
7,8 ,Pina Colada,2003,March,385
8,9 ,Veronika's Birthday,2003,March,363
9,10 ,Zombie,2003,March,344
0,1 ,Caipirinha,2003,April,809
1,2 ,'57 Chevy,2003,April,652
2,3 ,Long Island Icetea,2003,April,619
3,4 ,May Tai,2003,April,550
4,5 ,Baby Aspirin,2003,April,514
5,6 ,Wiki Waki Woo,2003,April,414
6,7 ,Zombie,2003,April,352
7,8 ,Veronika's Birthday,2003,April,282
8,9 ,77 Sunset Strip,2003,April,189
9,10 ,B52,2003,April,155
0,1 ,Sex On The Beach,2003,May,1216
1,2 ,Caipirinha,2003,May,966
2,3 ,Long Island Icetea,2003,May,697
3,4 ,'57 Chevy,2003,May,677
4,5 ,May Tai,2003,May,557
5,6 ,Baby Aspirin,2003,May,532
6,7 ,Wiki Waki Woo,2003,May,440
7,8 ,Zombie,2003,May,437
8,9 ,Pina Colada,2003,May,430
9,10 ,Veronika's Birthday,2003,May,367
0,1 ,Mojito original,2003,June,2042
1,2 ,Caipirinha,2003,June,1905
2,3 ,Highfly,2003,June,1587
3,4 ,Sex On The Beach,2003,June,1357
4,5 ,Long Island Icetea,2003,June,720
5,6 ,'57 Chevy,2003,June,653
6,7 ,Zombie,2003,June,526
7,8 ,Pina Colada,2003,June,478
8,9 ,Veronika's Birthday,2003,June,323
9,10 ,Mojito,2003,June,196
0,1 ,Sex On The Beach,2003,July,1489
1,2 ,Mojito original,2003,July,1483
2,3 ,Caipirinha,2003,July,1482
3,4 ,Cuban Special,2003,July,1316
4,5 ,Highfly,2003,July,1202
5,6 ,May Tai,2003,July,959
6,7 ,Long Island Icetea,2003,July,915
7,8 ,Baby Aspirin,2003,July,735
8,9 ,'57 Chevy,2003,July,728
9,10 ,Pina Colada,2003,July,581
0,1 ,Sex On The Beach,2003,August,1299
1,2 ,Caipirinha,2003,August,1215
2,3 ,Long Island Icetea,2003,August,907
3,4 ,Mojito original,2003,August,865
4,5 ,May Tai,2003,August,763
5,6 ,Baby Aspirin,2003,August,692
6,7 ,'57 Chevy,2003,August,644
7,8 ,Zombie,2003,August,625
8,9 ,Sputnik,2003,August,571
9,10 ,Pina Colada,2003,August,501
0,1 ,Sex On The Beach,2003,September,963
1,2 ,Caipirinha,2003,September,887
2,3 ,Mojito original,2003,September,753
3,4 ,Sputnik,2003,September,728
4,5 ,Highfly,2003,September,696
5,6 ,Cuban Special,2003,September,633
6,7 ,Long Island Icetea,2003,September,558
7,8 ,Baby Face,2003,September,547
8,9 ,May Tai,2003,September,483
9,10 ,Baby Aspirin,2003,September,463
0,1 ,Sex On The Beach,2003,October,883
1,2 ,Highfly,2003,October,702
2,3 ,Caipirinha,2003,October,676
3,4 ,Mojito original,2003,October,648
4,5 ,Sputnik,2003,October,647
5,6 ,Cuban Special,2003,October,558
6,7 ,Baby Face,2003,October,483
7,8 ,Long Island Icetea,2003,October,480
8,9 ,May Tai,2003,October,475
9,10 ,Baby Aspirin,2003,October,391
0,1 ,Sex On The Beach,2003,November,933
1,2 ,Highfly,2003,November,810
2,3 ,Mojito original,2003,November,797
3,4 ,Caipirinha,2003,November,680
4,5 ,Grasshopper,2003,November,627
5,6 ,Sputnik,2003,November,609
6,7 ,Cuban Special,2003,November,589
7,8 ,Long Island Icetea,2003,November,554
8,9 ,May Tai,2003,November,448
9,10 ,Baby Aspirin,2003,November,411
0,1 ,Sex On The Beach,2003,December,1298
1,2 ,Caipirinha,2003,December,972
2,3 ,Mojito original,2003,December,837
3,4 ,Highfly,2003,December,802
4,5 ,Sputnik,2003,December,682
5,6 ,Cuban Special,2003,December,630
6,7 ,Long Island Icetea,2003,December,607
7,8 ,May Tai,2003,December,603
8,9 ,Grasshopper,2003,December,574
9,10 ,Zombie,2003,December,507
0,1 ,Sex On The Beach,2004,total,12382
1,2 ,Mojito original,2004,total,9582
2,3 ,Caipirinha,2004,total,9061
3,4 ,Long Island Icetea,2004,total,7796
4,5 ,Highfly,2004,total,6952
5,6 ,May Tai,2004,total,6835
6,7 ,Sputnik,2004,total,6216
7,8 ,Baby Aspirin,2004,total,5645
8,9 ,Cuban Special,2004,total,5151
9,10 ,Grasshopper,2004,total,5045
0,1 ,Sex On The Beach,2004,January,1261
1,2 ,Mojito original,2004,January,910
2,3 ,Caipirinha,2004,January,905
3,4 ,Highfly,2004,January,861
4,5 ,Sputnik,2004,January,820
5,6 ,Cuban Special,2004,January,797
6,7 ,Grasshopper,2004,January,792
7,8 ,Long Island Icetea,2004,January,724
8,9 ,May Tai,2004,January,717
9,10 ,Baby Aspirin,2004,January,553
0,1 ,Sex On The Beach,2004,February,1266
1,2 ,Highfly,2004,February,1196
2,3 ,Mojito original,2004,February,1185
3,4 ,Caipirinha,2004,February,1160
4,5 ,Sputnik,2004,February,1113
5,6 ,Cuban Special,2004,February,1004
6,7 ,Grasshopper,2004,February,958
7,8 ,Gimlet,2004,February,791
8,9 ,Long Island Icetea,2004,February,712
9,10 ,May Tai,2004,February,656
0,1 ,Caipirinha,2004,March,1299
1,2 ,Mojito original,2004,March,1275
2,3 ,Sex On The Beach,2004,March,1181
3,4 ,Highfly,2004,March,1059
4,5 ,Sputnik,2004,March,943
5,6 ,Cuban Special,2004,March,830
6,7 ,Planter'sPunch (1),2004,March,750
7,8 ,Grasshopper,2004,March,742
8,9 ,Long Island Icetea,2004,March,697
9,10 ,Gimlet,2004,March,615
0,1 ,Mojito original,2004,April,1047
1,2 ,Caipirinha,2004,April,1035
2,3 ,Highfly,2004,April,731
3,4 ,Sputnik,2004,April,687
4,5 ,Grasshopper,2004,April,655
5,6 ,Long Island Icetea,2004,April,651
6,7 ,Cuban Special,2004,April,621
7,8 ,Planter'sPunch (1),2004,April,596
8,9 ,May Tai,2004,April,524
9,10 ,Zombie,2004,April,248
0,1 ,Sex On The Beach,2004,May,1050
1,2 ,Mojito original,2004,May,974
2,3 ,Caipirinha,2004,May,918
3,4 ,Highfly,2004,May,753
4,5 ,Long Island Icetea,2004,May,703
5,6 ,Sputnik,2004,May,692
6,7 ,Grasshopper,2004,May,647
7,8 ,A Day At The Beach,2004,May,583
8,9 ,Planter'sPunch (1),2004,May,563
9,10 ,Cuban Special,2004,May,543
0,1 ,Sex On The Beach,2004,June,1098
1,2 ,Caipirinha,2004,June,842
2,3 ,Long Island Icetea,2004,June,623
3,4 ,Mojito original,2004,June,599
4,5 ,May Tai,2004,June,527
5,6 ,Baby Aspirin,2004,June,457
6,7 ,Lumumba,2004,June,391
7,8 ,Sputnik,2004,June,376
8,9 ,Highfly,2004,June,349
9,10 ,Pina Colada,2004,June,317
0,1 ,Sex On The Beach,2004,July,1141
1,2 ,Mojito original,2004,July,674
2,3 ,Long Island Icetea,2004,July,666
3,4 ,May Tai,2004,July,545
4,5 ,Baby Aspirin,2004,July,471
5,6 ,Pina Colada,2004,July,358
6,7 ,Highfly,2004,July,339
7,8 ,Sputnik,2004,July,328
8,9 ,'57 Chevy,2004,July,258
9,10 ,Zombie,2004,July,245
0,1 ,Sex On The Beach,2004,August,1244
1,2 ,Mojito original,2004,August,784
2,3 ,Long Island Icetea,2004,August,712
3,4 ,May Tai,2004,August,672
4,5 ,Baby Aspirin,2004,August,604
5,6 ,Pina Colada,2004,August,418
6,7 ,Highfly,2004,August,393
7,8 ,Sputnik,2004,August,367
8,9 ,'57 Chevy,2004,August,304
9,10 ,Mojito,2004,August,283
0,1 ,Sex On The Beach,2004,September,1039
1,2 ,Caipirinha,2004,September,726
2,3 ,Long Island Icetea,2004,September,610
3,4 ,Mojito original,2004,September,553
4,5 ,May Tai,2004,September,501
5,6 ,Baby Aspirin,2004,September,484
6,7 ,Highfly,2004,September,313
7,8 ,Sputnik,2004,September,297
8,9 ,Pina Colada,2004,September,295
9,10 ,White Russian (der Echte!),2004,September,265
0,1 ,Sex On The Beach,2004,October,1148
1,2 ,Caipirinha,2004,October,808
2,3 ,Long Island Icetea,2004,October,633
3,4 ,Mojito original,2004,October,578
4,5 ,May Tai,2004,October,574
5,6 ,Baby Aspirin,2004,October,550
6,7 ,Highfly,2004,October,358
7,8 ,Pina Colada,2004,October,347
8,9 ,White Russian (der Echte!),2004,October,288
9,10 ,Zombie,2004,October,266
0,1 ,Sex On The Beach,2004,November,1019
1,2 ,Caipirinha,2004,November,690
2,3 ,Long Island Icetea,2004,November,535
3,4 ,Mojito original,2004,November,510
4,5 ,May Tai,2004,November,483
5,6 ,Baby Aspirin,2004,November,449
6,7 ,Highfly,2004,November,296
7,8 ,Sputnik,2004,November,288
8,9 ,Cuban Special,2004,November,280
9,10 ,Zombie,2004,November,225
0,1 ,Sex On The Beach,2004,December,935
1,2 ,Caipirinha,2004,December,678
2,3 ,May Tai,2004,December,533
3,4 ,Long Island Icetea,2004,December,530
4,5 ,Mojito original,2004,December,493
5,6 ,Baby Aspirin,2004,December,434
6,7 ,Sputnik,2004,December,305
7,8 ,Highfly,2004,December,304
8,9 ,Zombie,2004,December,274
9,10 ,Pina Colada,2004,December,264
0,1 ,Sex On The Beach,2005,total,12065
1,2 ,Caipirinha,2005,total,7573
2,3 ,Baby Aspirin,2005,total,5662
3,4 ,May Tai,2005,total,5439
4,5 ,Zombie,2005,total,4573
5,6 ,White Russian (der Echte!),2005,total,4357
6,7 ,Mojito original,2005,total,4153
7,8 ,Pina Colada,2005,total,4127
8,9 ,Absinth,2005,total,4070
9,10 ,Long Island Icetea,2005,total,3907
0,1 ,Sex On The Beach,2005,January,1037
1,2 ,Long Island Icetea,2005,January,644
2,3 ,Baby Aspirin,2005,January,580
3,4 ,Mojito original,2005,January,464
4,5 ,White Russian (der Echte!),2005,January,461
5,6 ,Zombie,2005,January,435
6,7 ,Pina Colada,2005,January,353
7,8 ,Absinth,2005,January,343
8,9 ,Highfly,2005,January,238
9,10 ,Sputnik,2005,January,237
0,1 ,Sex On The Beach,2005,February,817
1,2 ,Caipirinha,2005,February,578
2,3 ,May Tai,2005,February,496
3,4 ,Long Island Icetea,2005,February,494
4,5 ,Baby Aspirin,2005,February,465
5,6 ,White Russian (der Echte!),2005,February,356
6,7 ,Mojito original,2005,February,351
7,8 ,Zombie,2005,February,339
8,9 ,Absinth,2005,February,317
9,10 ,Pina Colada,2005,February,315
0,1 ,Sex On The Beach,2005,March,907
1,2 ,Caipirinha,2005,March,596
2,3 ,May Tai,2005,March,537
3,4 ,Long Island Icetea,2005,March,482
4,5 ,Baby Aspirin,2005,March,478
5,6 ,White Russian (der Echte!),2005,March,395
6,7 ,Zombie,2005,March,365
7,8 ,Absinth,2005,March,312
8,9 ,Pina Colada,2005,March,308
9,10 ,'57 Chevy,2005,March,172
0,1 ,Sex On The Beach,2005,April,963
1,2 ,Caipirinha,2005,April,637
2,3 ,Long Island Icetea,2005,April,570
3,4 ,May Tai,2005,April,547
4,5 ,Baby Aspirin,2005,April,526
5,6 ,Mojito original,2005,April,401
6,7 ,Zombie,2005,April,374
7,8 ,Absinth,2005,April,368
8,9 ,White Russian (der Echte!),2005,April,366
9,10 ,Pina Colada,2005,April,337
0,1 ,Sex On The Beach,2005,May,1165
1,2 ,Caipirinha,2005,May,761
2,3 ,May Tai,2005,May,590
3,4 ,Baby Aspirin,2005,May,559
4,5 ,Mojito original,2005,May,537
5,6 ,Zombie,2005,May,452
6,7 ,White Russian (der Echte!),2005,May,442
7,8 ,Pina Colada,2005,May,393
8,9 ,Absinth,2005,May,387
9,10 ,Highfly,2005,May,203
0,1 ,Sex On The Beach,2005,June,1221
1,2 ,Caipirinha,2005,June,915
2,3 ,Mojito original,2005,June,549
3,4 ,White Russian (der Echte!),2005,June,459
4,5 ,Zombie,2005,June,439
5,6 ,Pina Colada,2005,June,417
6,7 ,Sputnik,2005,June,381
7,8 ,Absinth,2005,June,340
8,9 ,Mojito,2005,June,226
9,10 ,Sex On The Beach 3,2005,June,205
0,1 ,Sex On The Beach,2005,July,950
1,2 ,Caipirinha,2005,July,754
2,3 ,May Tai,2005,July,583
3,4 ,Baby Aspirin,2005,July,517
4,5 ,Zombie,2005,July,414
5,6 ,White Russian (der Echte!),2005,July,381
6,7 ,Pina Colada,2005,July,357
7,8 ,Absinth,2005,July,328
8,9 ,Mojito,2005,July,200
9,10 ,Tequila Sunrise,2005,July,192
0,1 ,Sex On The Beach,2005,August,998
1,2 ,Caipirinha,2005,August,658
2,3 ,May Tai,2005,August,527
3,4 ,Baby Aspirin,2005,August,496
4,5 ,Mojito original,2005,August,396
5,6 ,White Russian (der Echte!),2005,August,388
6,7 ,Zombie,2005,August,356
7,8 ,Pina Colada,2005,August,344
8,9 ,Absinth,2005,August,325
9,10 ,Sex On The Beach 3,2005,August,181
0,1 ,Sex On The Beach,2005,September,1081
1,2 ,Caipirinha,2005,September,717
2,3 ,May Tai,2005,September,560
3,4 ,Baby Aspirin,2005,September,533
4,5 ,Zombie,2005,September,484
5,6 ,White Russian (der Echte!),2005,September,393
6,7 ,Mojito original,2005,September,381
7,8 ,Pina Colada,2005,September,339
8,9 ,Absinth,2005,September,331
9,10 ,Sex On The Beach 3,2005,September,186
0,1 ,Sex On The Beach,2005,October,906
1,2 ,Caipirinha,2005,October,581
2,3 ,Long Island Icetea,2005,October,495
3,4 ,May Tai,2005,October,473
4,5 ,Baby Aspirin,2005,October,472
5,6 ,Zombie,2005,October,435
6,7 ,White Russian (der Echte!),2005,October,349
7,8 ,Mojito original,2005,October,330
8,9 ,Absinth,2005,October,306
9,10 ,Pina Colada,2005,October,261
0,1 ,Sex On The Beach,2005,November,1017
1,2 ,Caipirinha,2005,November,666
2,3 ,Long Island Icetea,2005,November,596
3,4 ,May Tai,2005,November,517
4,5 ,Baby Aspirin,2005,November,504
5,6 ,Zombie,2005,November,480
6,7 ,White Russian (der Echte!),2005,November,367
7,8 ,Mojito original,2005,November,357
8,9 ,Absinth,2005,November,356
9,10 ,Pina Colada,2005,November,342
0,1 ,---,2005,December,1045
1,2 ,Sex On The Beach,2005,December,1003
2,3 ,Caipirinha,2005,December,710
3,4 ,Long Island Icetea,2005,December,626
4,5 ,May Tai,2005,December,609
5,6 ,Baby Aspirin,2005,December,532
6,7 ,Mojito original,2005,December,387
7,8 ,Pina Colada,2005,December,361
8,9 ,Absinth,2005,December,357
9,10 ,Sex On The Beach 3,2005,December,168
0,1 ,Sex On The Beach,2006,total,5064
1,2 ,Caipirinha,2006,total,4669
2,3 ,Long Island Icetea,2006,total,4231
3,4 ,Baby Aspirin,2006,total,4107
4,5 ,May Tai,2006,total,3779
5,6 ,Zombie,2006,total,2820
6,7 ,Absinth,2006,total,2420
7,8 ,Sex On The Beach 3,2006,total,2032
8,9 ,Pina Colada,2006,total,1904
9,10 ,Mojito original,2006,total,1843
0,1 ,Sex On The Beach,2006,January,1046
1,2 ,Caipirinha,2006,January,713
2,3 ,Long Island Icetea,2006,January,641
3,4 ,May Tai,2006,January,546
4,5 ,Baby Aspirin,2006,January,541
5,6 ,Absinth,2006,January,404
6,7 ,Pina Colada,2006,January,355
7,8 ,#NAME?,2006,January,239
8,9 ,Sex On The Beach 3,2006,January,177
9,10 ,'57 Chevy,2006,January,158
0,1 ,Sex On The Beach,2006,February,922
1,2 ,Caipirinha,2006,February,608
2,3 ,Long Island Icetea,2006,February,599
3,4 ,Baby Aspirin,2006,February,539
4,5 ,May Tai,2006,February,520
5,6 ,Zombie,2006,February,455
6,7 ,White Russian (der Echte!),2006,February,426
7,8 ,Mojito original,2006,February,343
8,9 ,Pina Colada,2006,February,324
9,10 ,Absinth,2006,February,317
0,1 ,Sex On The Beach,2006,March,1047
1,2 ,Caipirinha,2006,March,681
2,3 ,Baby Aspirin,2006,March,592
3,4 ,Long Island Icetea,2006,March,567
4,5 ,May Tai,2006,March,566
5,6 ,Zombie,2006,March,495
6,7 ,Mojito original,2006,March,367
7,8 ,Absinth,2006,March,341
8,9 ,Pina Colada,2006,March,335
9,10 ,Sex On The Beach 3,2006,March,179
0,1 ,Sex On The Beach,2006,April,184
1,2 ,Caipirinha,2006,April,114
2,3 ,Long Island Icetea,2006,April,108
3,4 ,White Russian (der Echte!),2006,April,89
4,5 ,Zombie,2006,April,79
5,6 ,Mojito original,2006,April,77
6,7 ,Pina Colada,2006,April,68
7,8 ,Absinth,2006,April,55
8,9 ,B52,2006,April,41
9,10 ,Sex On The Beach 3,2006,April,37
0,1 ,Sex On The Beach,2006,October,880
1,2 ,Baby Aspirin,2006,October,531
2,3 ,Caipirinha,2006,October,522
3,4 ,Long Island Icetea,2006,October,480
4,5 ,May Tai,2006,October,444
5,6 ,Zombie,2006,October,414
6,7 ,Mojito original,2006,October,340
7,8 ,Absinth,2006,October,299
8,9 ,Sex On The Beach 3,2006,October,293
9,10 ,White Russian (der Echte!),2006,October,253
0,1 ,Baby Aspirin,2006,November,935
1,2 ,Caipirinha,2006,November,931
2,3 ,Sex On The Beach,2006,November,838
3,4 ,Long Island Icetea,2006,November,813
4,5 ,May Tai,2006,November,748
5,6 ,Zombie,2006,November,550
6,7 ,Sex On The Beach 3,2006,November,526
7,8 ,White Russian (der Echte!),2006,November,498
8,9 ,Absinth,2006,November,490
9,10 ,'57 Chevy,2006,November,454
0,1 ,Caipirinha,2006,December,1100
1,2 ,Long Island Icetea,2006,December,1023
2,3 ,Baby Aspirin,2006,December,969
3,4 ,May Tai,2006,December,955
4,5 ,Zombie,2006,December,827
5,6 ,Sex On The Beach 3,2006,December,668
6,7 ,Mojito original,2006,December,625
7,8 ,Absinth,2006,December,514
8,9 ,White Russian (der Echte!),2006,December,483
9,10 ,'57 Chevy,2006,December,463
0,1 ,Sex On The Beach,2007,total,13604
1,2 ,Caipirinha,2007,total,9462
2,3 ,Baby Aspirin,2007,total,7977
3,4 ,Long Island Icetea,2007,total,7904
4,5 ,May Tai,2007,total,7835
5,6 ,Zombie,2007,total,7093
6,7 ,Mojito original,2007,total,6214
7,8 ,Sex On The Beach 3,2007,total,4919
8,9 ,White Russian (der Echte!),2007,total,4624
9,10 ,'57 Chevy,2007,total,4309
0,1 ,Sex On The Beach,2007,January,1569
1,2 ,Caipirinha,2007,January,970
2,3 ,Long Island Icetea,2007,January,884
3,4 ,Baby Aspirin,2007,January,857
4,5 ,May Tai,2007,January,804
5,6 ,Zombie,2007,January,735
6,7 ,Sex On The Beach 3,2007,January,564
7,8 ,Mojito original,2007,January,539
8,9 ,Absinth,2007,January,506
9,10 ,White Russian (der Echte!),2007,January,494
0,1 ,Sex On The Beach,2007,February,1239
1,2 ,Caipirinha,2007,February,829
2,3 ,Long Island Icetea,2007,February,744
3,4 ,Baby Aspirin,2007,February,720
4,5 ,May Tai,2007,February,672
5,6 ,Zombie,2007,February,607
6,7 ,Sex On The Beach 3,2007,February,442
7,8 ,Mojito original,2007,February,441
8,9 ,'57 Chevy,2007,February,400
9,10 ,White Russian (der Echte!),2007,February,393
0,1 ,Sex On The Beach,2007,March,1352
1,2 ,Caipirinha,2007,March,812
2,3 ,Long Island Icetea,2007,March,754
3,4 ,Baby Aspirin,2007,March,727
4,5 ,May Tai,2007,March,689
5,6 ,Zombie,2007,March,639
6,7 ,Mojito original,2007,March,483
7,8 ,White Russian (der Echte!),2007,March,459
8,9 ,Sex On The Beach 3,2007,March,447
9,10 ,Absinth,2007,March,389
0,1 ,Sex On The Beach,2007,April,1178
1,2 ,Caipirinha,2007,April,733
2,3 ,Long Island Icetea,2007,April,728
3,4 ,May Tai,2007,April,671
4,5 ,Baby Aspirin,2007,April,631
5,6 ,Zombie,2007,April,552
6,7 ,Mojito original,2007,April,513
7,8 ,Sex On The Beach 3,2007,April,400
8,9 ,White Russian (der Echte!),2007,April,397
9,10 ,'57 Chevy,2007,April,344
0,1 ,Sex On The Beach,2007,May,1730
1,2 ,Caipirinha,2007,May,1092
2,3 ,Long Island Icetea,2007,May,961
3,4 ,Baby Aspirin,2007,May,925
4,5 ,May Tai,2007,May,886
5,6 ,Erdbeerbowle,2007,May,865
6,7 ,Zombie,2007,May,773
7,8 ,Mojito original,2007,May,745
8,9 ,Sex On The Beach 3,2007,May,556
9,10 ,'57 Chevy,2007,May,484
0,1 ,Sex On The Beach,2007,June,1186
1,2 ,Erdbeerbowle,2007,June,974
2,3 ,Caipirinha,2007,June,779
3,4 ,May Tai,2007,June,682
4,5 ,Baby Aspirin,2007,June,658
5,6 ,Mojito original,2007,June,652
6,7 ,Zombie,2007,June,599
7,8 ,Sex On The Beach 3,2007,June,414
8,9 ,White Russian (der Echte!),2007,June,360
9,10 ,'57 Chevy,2007,June,358
0,1 ,Sex On The Beach,2007,July,968
1,2 ,Caipirinha,2007,July,764
2,3 ,Long Island Icetea,2007,July,663
3,4 ,May Tai,2007,July,627
4,5 ,Baby Aspirin,2007,July,602
5,6 ,Zombie,2007,July,587
6,7 ,Mojito original,2007,July,530
7,8 ,Sex On The Beach 3,2007,July,382
8,9 ,White Russian (der Echte!),2007,July,381
9,10 ,'57 Chevy,2007,July,338
0,1 ,Sex On The Beach,2007,August,1066
1,2 ,Caipirinha,2007,August,779
2,3 ,Long Island Icetea,2007,August,636
3,4 ,May Tai,2007,August,593
4,5 ,Baby Aspirin,2007,August,587
5,6 ,Mojito original,2007,August,573
6,7 ,Kaukasier,2007,August,553
7,8 ,Zombie,2007,August,545
8,9 ,Sex On The Beach 3,2007,August,375
9,10 ,White Russian (der Echte!),2007,August,361
0,1 ,Sex On The Beach,2007,September,907
1,2 ,Caipirinha,2007,September,611
2,3 ,Long Island Icetea,2007,September,534
3,4 ,Kaukasier,2007,September,517
4,5 ,Baby Aspirin,2007,September,512
5,6 ,May Tai,2007,September,480
